latitude,longitude,Wi-Fi RSSI,Wi-Fi RSSI 2,RSSI,SNR,packet_num,
40.2453728,-111.6401152,nan,nan,-108,2.25,224,30:30.2
40.2453728,-111.6401152,nan,nan,-113,-1.5,225,30:31.2
40.2453728,-111.6401152,nan,nan,-103,4.25,226,30:32.2
40.2453728,-111.6401152,nan,nan,-100,4.25,227,30:33.2
40.2453728,-111.6401152,nan,nan,-101,5,228,30:34.2
40.2453728,-111.6401152,nan,nan,-101,5,229,30:35.2
40.2453728,-111.6401152,nan,nan,-102,4.5,230,30:36.2
40.2453728,-111.6401152,nan,nan,-102,4.75,231,30:37.2
40.2453728,-111.6401152,nan,nan,-103,5,232,30:38.2
40.2453728,-111.6401152,nan,nan,-104,4.75,233,30:39.2
40.2453728,-111.6401152,nan,nan,-103,4.75,234,30:40.2
40.2453728,-111.6401152,nan,nan,-116,-5,235,30:41.2
40.2453728,-111.6401152,nan,nan,-107,1.75,236,30:42.2
40.2453728,-111.6401152,nan,nan,-107,3,237,30:43.2
40.2453728,-111.6401152,-77,-79,-106,3.25,238,30:44.2
40.2453728,-111.6401152,nan,nan,-105,3.5,239,30:45.2
40.2453728,-111.6401152,nan,nan,-104,4.25,240,30:46.2
40.2453728,-111.6401152,nan,nan,-102,4,241,30:47.2
40.2453728,-111.6401152,-80,-77,-101,4.5,242,30:48.2
40.2453728,-111.6401152,-80,-78,-96,5.5,243,30:49.2
40.2453728,-111.6401152,nan,nan,-90,6,244,30:50.2
40.2453728,-111.6401152,nan,nan,-86,6,245,30:51.2
40.2453728,-111.6401152,nan,nan,-86,6.5,246,30:52.2
40.2453728,-111.6401152,nan,nan,-88,6.25,247,30:53.1
40.2453728,-111.6401152,nan,nan,-88,6.25,248,30:54.1
40.2453728,-111.6401152,nan,nan,-89,6.25,249,30:55.1
40.2453728,-111.6401152,nan,nan,-89,6,250,30:56.1
40.2453728,-111.6401152,nan,nan,-86,6.5,251,30:57.1
40.2453728,-111.6401152,nan,nan,-86,6.5,252,30:58.1
40.2453728,-111.6401152,nan,nan,-87,5.75,253,30:59.1
40.2453728,-111.6401152,nan,nan,-88,6.5,254,31:00.1
40.2453728,-111.6401152,nan,nan,-89,6.25,255,31:01.1
40.2453728,-111.6401152,nan,nan,-94,6,0,31:02.1
40.2453728,-111.6401152,nan,nan,-94,5.75,1,31:03.1
40.2453728,-111.6401152,nan,nan,-91,5.75,2,31:04.1
40.2453728,-111.6401152,nan,nan,-91,6,3,31:05.1
40.2453728,-111.6401152,nan,nan,-92,5.75,4,31:06.0
40.2453728,-111.6401152,nan,nan,-91,6.25,5,31:07.0
40.2453728,-111.6401152,nan,nan,-89,6.25,6,31:08.0
40.2453728,-111.6401152,nan,nan,-89,6.5,7,31:09.0
40.2453728,-111.6401152,nan,nan,-88,6.75,8,31:10.0
40.2453728,-111.6401152,nan,nan,-87,6.5,9,31:11.0
40.2453728,-111.6401152,nan,nan,-83,6.75,10,31:12.0
40.2453728,-111.6401152,nan,nan,-84,6.25,11,31:13.0
40.2453728,-111.6401152,-52,-56,-84,5.75,12,31:14.0
40.2453728,-111.6401152,-52,-56,-85,6.5,13,31:15.1
40.2453728,-111.6401152,-50,-56,-86,6.75,14,31:16.3
40.2453728,-111.6401152,nan,nan,-80,6.25,15,31:17.5
40.2453728,-111.6401152,nan,nan,-81,6.5,16,31:18.0
40.2453728,-111.6401152,nan,nan,-79,6.75,17,31:19.0
40.2453728,-111.6401152,nan,nan,-79,6.5,18,31:20.0
40.2453728,-111.6401152,nan,nan,-81,6.25,19,31:21.0
40.2453728,-111.6401152,nan,nan,-84,5.5,20,31:22.0
40.2453728,-111.6401152,nan,nan,-84,6,21,31:23.0
40.2453728,-111.6401152,nan,nan,-83,6.25,22,31:24.0
40.2453728,-111.6401152,nan,nan,-82,6.25,23,31:25.0
40.2453728,-111.6401152,nan,nan,-86,6.25,24,31:25.9
40.2453728,-111.6401152,nan,nan,-86,6,25,31:26.9
40.2453728,-111.6401152,nan,nan,-87,6.25,26,31:27.9
40.2453728,-111.6401152,nan,nan,-84,6,27,31:28.9
40.2453728,-111.6401152,nan,nan,-88,6,28,31:29.9
40.2453728,-111.6401152,nan,nan,-86,6.25,29,31:30.9
40.2453728,-111.6401152,nan,nan,-90,5.5,30,31:31.9
40.2453728,-111.6401152,nan,nan,-85,6.5,31,31:32.9
40.2453728,-111.6401152,nan,nan,-92,5,32,31:33.9
40.2453728,-111.6401152,nan,nan,-88,5.75,33,31:34.9
40.2453728,-111.6401152,nan,nan,-83,6.25,34,31:35.9
40.2453728,-111.6401152,nan,nan,-83,6.25,35,31:36.9
40.2453728,-111.6401152,nan,nan,-86,6,36,31:37.8
40.2456608,-111.6400768,nan,nan,-85,5.5,37,31:38.8
40.2456608,-111.6400768,-46,-49,-86,6.25,38,31:39.8
40.2456608,-111.6400768,nan,nan,-85,6,39,31:41.1
40.2456608,-111.6400768,nan,nan,-83,6,40,31:41.8
40.2456608,-111.6400768,nan,nan,-83,6.25,41,31:42.8
40.2457056,-111.6400768,nan,nan,-83,6,42,31:43.8
40.2457056,-111.6400768,-48,-44,-83,6.5,43,31:44.8
40.2457056,-111.6400768,nan,nan,-81,5.5,44,31:46.4
40.2457056,-111.6400768,nan,nan,-87,6,45,31:46.8
40.2457056,-111.6400768,nan,nan,-90,5.75,46,31:47.8
40.2458112,-111.6400768,nan,nan,-86,6.25,47,31:49.3
40.2458112,-111.6400768,nan,nan,-88,6,48,31:50.3
40.245792,-111.6400896,nan,nan,-86,6,49,31:51.3
40.245792,-111.6400896,nan,nan,-84,6.25,50,31:52.2
40.245792,-111.6400896,-44,-46,-81,6.25,51,31:53.2
40.245792,-111.6400896,nan,nan,-83,6,52,31:54.8
40.245792,-111.6400896,nan,nan,-82,6.25,53,31:55.2
40.2458656,-111.6401152,nan,nan,-84,6.75,54,31:56.2
40.2458656,-111.6401152,nan,nan,-86,6,55,31:57.2
40.2458656,-111.6401152,nan,nan,-89,5.75,56,31:58.2
40.2458656,-111.6401152,nan,nan,-82,6,57,31:59.3
40.2459072,-111.640192,nan,nan,-94,5.5,58,32:00.3
40.2459104,-111.640192,nan,nan,-86,5.75,59,32:01.3
40.2459328,-111.6402048,nan,nan,-91,6,60,32:02.8
40.2459456,-111.6402176,nan,nan,-98,4.75,61,32:03.8
40.2459456,-111.6402176,nan,nan,-100,4.75,62,32:04.8
40.2459456,-111.6402176,-46,-55,-86,6.25,63,32:06.3
40.2459552,-111.6402176,nan,nan,-95,5.5,64,32:07.7
40.2459552,-111.6402176,nan,nan,-89,5.25,65,32:08.3
40.2459552,-111.6402176,nan,nan,-84,5,66,32:09.3
40.2459552,-111.6402176,nan,nan,-87,6.5,67,32:10.4
40.245968,-111.6402176,nan,nan,-88,6.25,68,32:11.3
40.245968,-111.6402176,nan,nan,-86,6,69,32:12.3
40.2459648,-111.6402048,nan,nan,-88,6,70,32:13.5
40.245968,-111.6402048,nan,nan,-85,6,71,32:14.4
40.245968,-111.6402048,nan,nan,-89,6,72,32:15.4
40.2459712,-111.6401792,nan,nan,-88,6.25,74,32:18.3
40.2459712,-111.6401792,nan,nan,-83,6.5,75,32:19.4
40.2459616,-111.6401536,nan,nan,-83,6,76,32:20.4
40.245968,-111.6401152,nan,nan,-83,6,77,32:21.3
40.2459808,-111.6400768,nan,nan,-82,6.5,78,32:22.8
40.2459872,-111.6400512,nan,nan,-80,6.5,79,32:23.8
40.2459872,-111.6400512,nan,nan,-81,6,80,32:24.8
40.2459872,-111.6400512,nan,nan,-79,6,81,32:26.4
40.2459904,-111.6400256,nan,nan,-80,6.25,82,32:27.3
40.2459936,-111.6400128,-40,-42,-80,6.25,83,32:28.4
40.2459936,-111.64,nan,nan,-81,5.75,84,32:29.7
40.2459904,-111.6399872,nan,nan,-84,5.75,85,32:30.5
40.2459904,-111.6399872,nan,nan,-84,6,86,32:31.5
40.2459872,-111.6399616,-41,-42,-82,6.5,87,32:32.5
40.2460096,-111.6398848,nan,nan,-83,6.25,89,32:35.3
40.2460096,-111.6398848,nan,nan,-87,5.75,90,32:36.3
40.2460096,-111.6398848,nan,nan,-83,5.75,91,32:37.4
40.2460224,-111.639808,nan,nan,-85,6,92,32:38.5
40.2460192,-111.6397824,nan,nan,-84,6.25,93,32:39.5
40.2460192,-111.6397824,nan,nan,-84,6.25,94,32:40.5
40.2460224,-111.6397824,nan,nan,-82,6.75,96,32:43.3
40.2460224,-111.6397824,-47,-45,-86,6.75,97,32:44.4
40.2460096,-111.6397824,nan,nan,-93,5.5,98,32:45.7
40.2460032,-111.6397824,nan,nan,-81,6,99,32:46.4
40.2460032,-111.6397824,nan,nan,-78,6,100,32:47.3
40.2459552,-111.6397824,nan,nan,-73,6,101,32:48.5
40.2459424,-111.6397824,nan,nan,-68,6.25,102,32:49.5
40.2459424,-111.6397824,nan,nan,-71,6.25,103,32:50.5
40.2459296,-111.6397824,nan,nan,-80,6,104,32:51.5
40.2458848,-111.6397824,nan,nan,-71,6.25,105,32:52.5
40.2458848,-111.6397824,nan,nan,-66,6.5,106,32:53.5
40.2458368,-111.6397952,nan,nan,-78,6,108,32:56.3
40.2458368,-111.6397952,nan,nan,-82,5.75,109,32:57.3
40.2458368,-111.6397952,-43,-48,-82,6.25,110,32:58.3
40.2458368,-111.6397952,-42,-48,-85,6.25,111,32:59.7
40.2458368,-111.6397952,nan,nan,-82,6,112,33:01.1
40.2458368,-111.6397952,nan,nan,-82,6.25,113,33:01.3
40.2458368,-111.6397952,nan,nan,-82,6.25,114,33:02.3
40.2458368,-111.6397952,nan,nan,-87,6.5,115,33:03.3
40.2458368,-111.6397952,nan,nan,-83,6.25,116,33:04.2
40.2458368,-111.6397952,nan,nan,-94,5.25,117,33:05.2
40.2458368,-111.6397952,nan,nan,-89,6.25,118,33:06.2
40.2458368,-111.6397952,nan,nan,-86,6.25,119,33:07.2
40.2457536,-111.6398464,nan,nan,-86,6.25,120,33:08.2
40.2457536,-111.6398464,nan,nan,-85,6.5,121,33:09.2
40.2457536,-111.6398464,nan,nan,-88,6.25,122,33:10.2
40.2457536,-111.6398464,nan,nan,-84,5.5,123,33:11.2
40.2457536,-111.6398464,nan,nan,-84,6,124,33:12.2
40.2457536,-111.6398464,nan,nan,-77,6.25,125,33:13.2
40.2457536,-111.6398464,nan,-41,-85,6,126,33:14.2
40.2457536,-111.6398464,-42,nan,-82,6.5,127,33:15.6
40.2457536,-111.6398464,nan,nan,-79,5.75,128,33:17.0
40.2457536,-111.6398464,nan,nan,-80,6.5,129,33:17.2
40.2457536,-111.6398464,nan,nan,-81,6.5,130,33:18.2
40.2457536,-111.6398464,nan,nan,-75,6.25,131,33:19.2
40.2457536,-111.6398464,nan,nan,-71,6.25,132,33:20.2
40.2457536,-111.6398464,nan,nan,-71,6.5,133,33:21.1
40.2457536,-111.6398464,nan,nan,-73,6.5,134,33:22.1
40.2457536,-111.6398464,nan,nan,-82,6.25,135,33:23.1
40.2457536,-111.6398464,-54,-46,-94,6,136,33:24.1
40.2457536,-111.6398464,-54,-46,-86,6,137,33:25.5
40.2457536,-111.6398464,nan,nan,-80,6.5,138,33:27.0
40.2457536,-111.6398464,nan,nan,-79,6.5,139,33:27.1
40.2457536,-111.6398464,nan,nan,-85,5.75,140,33:28.1
40.2457536,-111.6398464,nan,nan,-90,5.75,141,33:29.1
40.2457536,-111.6398464,nan,nan,-85,5.75,142,33:30.1
40.2457536,-111.6398464,nan,nan,-78,6.5,143,33:31.1
40.2457536,-111.6398464,nan,nan,-78,6.25,144,33:32.1
40.2457536,-111.6398464,nan,nan,-80,6.5,145,33:33.1
